city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year,price
21,sport utility vehicle,24,4,2.4,fwd,gas,28,honda,cr-v 2wd,a,2010,8260
21,sport utility vehicle,23,4,2.4,awd,gas,27,honda,cr-v 4wd,a,2010,8460
21,sport utility vehicle,24,4,2.4,fwd,gas,28,honda,cr-v 2wd,a,2011,9330
21,sport utility vehicle,23,4,2.4,awd,gas,27,honda,cr-v 4wd,a,2011,9580
23,sport utility vehicle,26,4,2.4,fwd,gas,30,honda,cr-v 2wd,a,2012,13532
22,sport utility vehicle,25,4,2.4,awd,gas,29,honda,cr-v 4wd,a,2012,13922
23,small sport utility vehicle,26,4,2.4,fwd,gas,30,honda,cr-v 2wd,a,2013,14908
22,small sport utility vehicle,25,4,2.4,awd,gas,29,honda,cr-v 4wd,a,2013,15109
23,small sport utility vehicle,26,4,2.4,fwd,gas,30,honda,cr-v 2wd,a,2014,16890
22,small sport utility vehicle,25,4,2.4,awd,gas,29,honda,cr-v 4wd,a,2014,17009
27,small sport utility vehicle,29,4,2.4,fwd,gas,33,honda,cr-v 2wd,a,2015,20450
26,small sport utility vehicle,28,4,2.4,awd,gas,32,honda,cr-v 4wd,a,2015,20615
26,small sport utility vehicle,29,4,2.4,fwd,gas,32,honda,cr-v 2wd,a,2016,20780
25,small sport utility vehicle,27,4,2.4,awd,gas,31,honda,cr-v 4wd,a,2016,21689
26,small sport utility vehicle,28,4,2.4,fwd,gas,32,honda,cr-v fwd,a,2017,25779
28,small sport utility vehicle,30,4,1.5,fwd,gas,34,honda,cr-v fwd,a,2017,25779
25,small sport utility vehicle,27,4,2.4,awd,gas,31,honda,cr-v awd,a,2017,24965
27,small sport utility vehicle,29,4,1.5,awd,gas,33,honda,cr-v awd,a,2017,24965
26,small sport utility vehicle,28,4,2.4,fwd,gas,32,honda,cr-v fwd,a,2018,23296
28,small sport utility vehicle,30,4,1.5,fwd,gas,34,honda,cr-v fwd,a,2018,23296
25,small sport utility vehicle,27,4,2.4,awd,gas,31,honda,cr-v awd,a,2018,26206
27,small sport utility vehicle,29,4,1.5,awd,gas,33,honda,cr-v awd,a,2018,26206
26,small sport utility vehicle,28,4,2.4,fwd,gas,32,honda,cr-v fwd,a,2019,26637
28,small sport utility vehicle,30,4,1.5,fwd,gas,34,honda,cr-v fwd,a,2019,26637
25,small sport utility vehicle,27,4,2.4,awd,gas,31,honda,cr-v awd,a,2019,24466
27,small sport utility vehicle,29,4,1.5,awd,gas,33,honda,cr-v awd,a,2019,24466
28,small sport utility vehicle,30,4,1.5,fwd,gas,34,honda,cr-v fwd,a,2020,24115
27,small sport utility vehicle,29,4,1.5,awd,gas,32,honda,cr-v awd,a,2020,28417
40,small sport utility vehicle,38,4,2,awd,gas,35,honda,cr-v hybrid awd,a,2020,31408
22,sport utility vehicle,26,4,2.4,fwd,gas,32,chevrolet,equinox fwd,a,2010,12000
20,sport utility vehicle,23,4,2.4,awd,gas,29,chevrolet,equinox awd,a,2010,10990
17,sport utility vehicle,20,6,3,fwd,gas,25,chevrolet,equinox fwd,a,2010,7995
17,sport utility vehicle,20,6,3,awd,gas,24,chevrolet,equinox awd,a,2010,9995
22,sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2011,7700
20,sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2011,10750
16,sport utility vehicle,19,6,3,fwd,gas,23,chevrolet,equinox fwd,a,2011,6995
17,sport utility vehicle,20,6,3,fwd,gas,24,chevrolet,equinox fwd,a,2011,8795
16,sport utility vehicle,19,6,3,awd,gas,23,chevrolet,equinox awd,a,2011,14456
16,sport utility vehicle,19,6,3,awd,gas,23,chevrolet,equinox awd,a,2011,11588
17,sport utility vehicle,20,6,3,fwd,gas,24,chevrolet,equinox fwd,a,2012,12986
22,sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2012,12995
17,sport utility vehicle,20,6,3,fwd,gas,24,chevrolet,equinox fwd,a,2012,13990
20,sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2012,13950
16,sport utility vehicle,19,6,3,awd,gas,23,chevrolet,equinox awd,a,2012,12400
16,sport utility vehicle,19,6,3,awd,gas,23,chevrolet,equinox awd,a,2012,11899
22,sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2012,11625
20,sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2012,12997
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2013,15500
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2013,12495
17,small sport utility vehicle,20,6,3.6,fwd,gas,24,chevrolet,equinox fwd,a,2013,8800
22,small sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2013,9988
17,small sport utility vehicle,20,6,3.6,fwd,gas,24,chevrolet,equinox fwd,a,2013,12299
22,small sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2013,11995
16,small sport utility vehicle,19,6,3.6,awd,gas,23,chevrolet,equinox awd,a,2013,16402
16,small sport utility vehicle,19,6,3.6,awd,gas,23,chevrolet,equinox awd,a,2013,14984
17,small sport utility vehicle,19,6,3.6,fwd,gas,24,chevrolet,equinox fwd,a,2014,11957
22,small sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2014,12610
17,small sport utility vehicle,20,6,3.6,fwd,gas,24,chevrolet,equinox fwd,a,2014,13400
16,small sport utility vehicle,19,6,3.6,awd,gas,23,chevrolet,equinox awd,a,2014,12995
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2014,14999
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2014,13351
16,small sport utility vehicle,19,6,3.6,awd,gas,23,chevrolet,equinox awd,a,2014,15500
22,small sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2014,14389
22,small sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2015,14995
17,small sport utility vehicle,19,6,3.6,fwd,gas,24,chevrolet,equinox fwd,a,2015,13999
22,small sport utility vehicle,26,4,2.4,fwd,gas,31,chevrolet,equinox fwd,a,2015,15505
16,small sport utility vehicle,19,6,3.6,awd,gas,23,chevrolet,equinox awd,a,2015,16086
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2015,15999
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2015,14880
20,small sport utility vehicle,23,4,2.4,awd,gas,28,chevrolet,equinox awd,a,2016,14599
